"","integratedclusters","YF","ZC","ZY"
"1","0",3627,259,3538
"2","1",3428,927,1524
"3","2",2497,151,2319
"4","3",1449,2043,1231
"5","4",1950,54,2439
"6","5",2764,193,838
"7","6",859,137,2458
"8","7",1784,270,1263
"9","8",1166,335,1676
"10","9",1453,45,1200
"11","10",643,418,1366
"12","11",805,189,1331
"13","12",124,166,1741
"14","13",900,17,613
"15","14",724,197,263
"16","15",422,84,331
"17","16",482,30,206
"18","17",179,72,425
"19","18",210,287,117
"20","19",109,16,247
"21","20",NA,NA,40
"22","21",13,25,1
